french,wolof
Qui a fait descendre le ballon ?,Ku àjji bal bi ?
"Mets un autre vétiver, celui-ci a perdu son arôme.","Defal geneen sepp, gii sàlli na."
"Tes mains sont pleines de sable, va te laver !","Sa loxo yaa ngi fees ak suuf, demal raxasu !"
"Aussi malingre que soit l'hyène, elle pourrait lutter avec une chèvre.","Lu bukki om, om, mën naa bëre ak bëy."
"Sur cette photo il y a, semble-t-il, des bancs.",Nataal bii lu mel ni ay bãŋ la.
Nous sommes de la même lignée maternelle lui et moi.,Ñoo bokk xeet maak moom.
Tu as été quelqu'un !,Nit ŋga !
"Nous l'avons pesé, ça faisait cinq kilos.","Màndaxa-le nanu ko, mu nekk juróomi kilo."
Qui sait ce que signifient les quatre touffes qui sont sur la tête de Koth Barma ?,Ku xam li ñenti jubb yi nekk ci boppu Kocc Barma tekki ?
"Quand je dirai « pip ! », tu te laisseras choir.","Bu ma nee piip, nga bàyyandiku."
Ne me compare pas à lui !,Bu ma méngale ak moom !
C'est ça que j'avais vu chez toi.,Lii laa gisoon sa kër.
Bois-le sur-le-champ !,Naan ko ci-saa-si !
"Tu es tout simplement orgueilleux, mais il n'y a pas de mal à dîner avec du riz au lait.","Danga réy doŋ, nde reere sombi, dara nekku ci."
Cela quoi ?,Lii lan ?
C'est extrêmement dur.,Dafa dëgër këŋ.
Où es-tu ?,Ana ŋga ?
L'homme peut-il partir jusqu'à ce qu'il vienne ?,Góor gi dem ba mu ñëw ?
Enfume le trou et le rat sortira !,"Suural kan mi, kaña gi génn !"
"Ils parlaient dans mon dos, j'entrai, ils se turent.","Dañu ma doon jëw, ma dugg, ñu ne kamaj."
Choisis deux témoins en qui tu as confiance.,Tànnal ñaari seede yu la doy.
Le train n'attend pas.,Saxaar du xaare.
Réciter le Coran intégralement.,Wàcce alxuraan.
Il le guettait à l'entrée de l'école.,Mu ngi ko doon tëru buntu ekool.
"À présent, tu dois négocier pour qu'il te le vende.","Fi mu nekk, danga wara muddaarante ngir mu jaay la ko."
Qui a allumé la radio ?,Ku taal rajo bi ?
"Je ne suis pas simple-ment fatigué, je suis exténué.","Sonnu-ma rekk, dama tóox."
Nous sommes partis,Dem nañu
As-tu prié à 17 h ?,Julli nga tàkkusaan ?
Est-ce que tu aurais mélangé le blanc et le jaune de l'oeuf ?,Danga jaxase ñànjaxeer bi ak pëdd bi xanaa ?
Il y a des arbres qu'on n'écorce pas.,"Am na garab yu, kenn du leen xas."
L'homme peut-il partir ?,Gor gi dem ?
Tu dois adapter ta démarche à l'époque.,Danga wara dëppale sa doxalin ak jamano ji.
Le chapelet des tidianes est long.,Wérdu tiijaan dafa gudd.
Qu'est-ce qui différencie le varan d'eau du varan de terre ?,Lu wutale bar ak mbëtt ?
L'habit à l'occidentale qu'il endossait chaque matin pour aller au marché devait lui peser.,"Yére tubaab ya mu daan xéy sol ngir dem ca ja ba, waroon nañoo diis ci moom."
Nous ne l'avons jamais entendu dire aucune vilenie.,Mësunu ko déggal benn ñaawteef.
Omar est allé au champ.,Omar dem na tool.
Tu ne sais pas préparer les pâtes.,Mënuloo togg makaróni.
L'oeil ne porte pas mais il sait ce que la tête peut supporter.,Bët du yenu waaye xam na lu bopp àttan.
C'est à cause du froid que tes yeux larmoient.,Sedd bee tax sa bët yi di bas.
"Un changement radical : sur instructions de mon père, avant le départ, je dois me faire couper les cheveux, que j'ai portés jusque-là longs comme ceux d'un petit Breton, ce qui eut pour résultat de m'infliger un extraordinaire coup de soleil sur les oreilles, et de me faire rentrer dans le rang de la normalité masculine.","Ni Yàllaak Yaali : ci ndigalu Baay, ñu xuuf samay karaw yu gudd yu goneg Bërëtaañ ya, naaj wiy jafal samay nopp. Ma daldi dellu nekk xale bu góor."
L'homme ira,Góor gi dana demi
"C'est des poissons, oui. Ils sont de couleur bleue ou rouge.","Jën la waaw, Wu am wirgo Wu baxa ak Wu xonq."
C'est comme ça.,Nii la.
"Il est jeune, c'est qu'il a de longues jambes.","Xale la de, yeel yee gudd rekk."
L'hameçon est petit.,Dóolinka gi dafa tuuti.
Comment peux-tu manger une chose si amère ?,Noo mana lekke lii forox toll ?
Les jeunes filles toucouleurs portaient des cache-sexe.,Njegemaari tukulóor yi dañu daan sol belefete.
Garde le riz concassé jusqu'à ce que je vienne.,Dencal wóoru ceeb wi ba ma ñów.
Nous emportions du couscous et du lait caillé pour viatique.,Cereek soow lanu daan def yóbbal.
Poussent des légumes verts,Lejum yu nëtëx a nga fay meňň
Ta cola a du chancre.,Sa guró gi dafa sànkar.
C'est un poltron.,Ab ragal la.
Tu as le coeur trop dur.,Danga néeg lool.
Il dort.,Dafay nelaw.
"Si tu ne mets pas de tuteur au jeune manguier, le mouton le fera tomber.","Soo defalul màngo si cëslaay, xar mi dina ko daaneel."
Il est parti il y a belle lurette.,Dem na ca ajagjag.
Fais comme tes pairs !,Defal naka sa moroom yi !
C'est à cause de la chaleur que les mouches ne s'y posent pas.,Tàngoor wee tax weñ yi duñu ci tag.
"Ñów les propos que tu attends, j'y arrive.","Baat yi ngay xaar, maa ngi ciy."
Tu es resplendissante., Yaa ngiy tàkk.
Tu enlèves les feuilles qui sont en surface.,Dangay lelli xob yu jëkk yi.
C'est complètement épuisé.,Jeex na tàkk.
Accepter les déboires qui nous arrivent fait partie de la foi.,"Nangu safaan yi ñuy dikkal, ci ngëm la bokk."
Son corps est couvert d'enflures indolores.,Yaramam waa ngi def ay tërngël.
Tous les lutteurs étaient venus participer.,Mbër yépp wàllsi woon nañu.
"Elles parlaient dans son dos, dans un taxi, alors que le chauffeur se trouvait être son oncle maternel.","Dañu ko doon jëw cib taksi, fekk sofoor ba nijaayam la."
"Si l'hôte trouve à redire, c'est qu'il s'est établi.","Su gan ŋàbboo, dëkk a ko ca bàyyi."
À combien t'a-t-il vendu la têtière ?,Ñaata la la jaaye tarka gi ?
"Il est fourbe, voilà pourquoi personne ne se fie à lui.","Dafa tappale, moo tax kenn wóoluwu ko."
Elle vit en concubinage avec le gars.,Dafay nekkaale ak waay si.
Vous êtes des juges en vertu de quel droit ?,Attekat ŋgeen ci ban yoon ?
"Je n'ai pas de frères et soeurs utérins, cousine par la tante maternelle.",Amuma doomu-ndey.
J'ai aperçu un cheval.,Séen naa aw fas.
"Je n'avais pas de poulie, j'ai tiré le seau à bout de bras.","Amuma woon puli, dama laxu."
"Quand on est étranger, il faut se laisser guider.","Boo dee gan, dangay nangoo wommatu."
C'est un homme qui n'est pas bon !,Nit ku baaxul la !
C'est le bûcheron !,Lawbe bi la !
"Aujourd'hui, je vais préparer du daxin.","Tey, daxin laay togg."
S'exiler pour atteindre une île,Gàddaay ba far tàbbi ci dun
J'ai pressé tout le citron et je l'ai mis en bouteille.,"Nal naa limoŋ ji yépp, def ko ci butéel."
